""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000358985.3"	-0.0673742385368686	-0.0558269958396481	-0.800207306065148	0.428579192010841	0.802942167448521	-5.71248161185805	"ENSP00000358985.3"	2	-0.797767658914371	0.429936785998259	0.801764025125858	"CLCC1"
"ENSP00000350699.3"	-0.0294570413969673	0.0568589124755716	-0.767166306023967	0.447736525342774	0.820656565665952	-5.73709633113919	"ENSP00000350699.3"	6	-0.797455473130826	0.430115812263669	0.801764025125858	"AIMP1"
"ENSP00000327801.4"	0.0391869484067734	0.0238774101572576	0.771571659029453	0.445153386478679	0.819510373403191	-5.73387241821266	"ENSP00000327801.4"	47	0.795455539062633	0.431263762893248	0.803110062361078	"P4HB"
"ENSP00000465058.1"	0.0417623025445505	-0.0186842807027975	0.78118797120134	0.439545525010982	0.814289694423621	-5.72677302837236	"ENSP00000465058.1"	5	0.795252889716981	0.431380185420822	0.803110062361078	"EFTUD2"
"ENSP00000382250.2"	-0.0763699158548677	0.0775972885590335	-0.803919496530567	0.426458243254874	0.802380173204136	-5.70965352070968	"ENSP00000382250.2"	1	-0.794021197247647	0.432088203020945	0.803922900344245	"MRPS6"
"ENSP00000355571.1"	-0.0923578113167572	0.0235883226715551	-0.79877831753632	0.429397338443522	0.803505474220686	-5.71356690466051	"ENSP00000355571.1"	1	-0.793119352915936	0.432607056523956	0.804055547314088	"COA6"
"ENSP00000363358.3"	0.125472431450137	-0.0887621270104491	0.791347133133103	0.433667147507763	0.807875528879242	-5.71918057887783	"ENSP00000363358.3"	2	0.792953682924122	0.432702411349985	0.804055547314088	"SH3BGRL3"
"ENSP00000447260.1"	0.0460175092200147	-0.0642554049835651	0.779227753011021	0.440685214538701	0.815053850275951	-5.7282270874775	"ENSP00000447260.1"	5	0.791260371243812	0.433677757373239	0.805362706795946	"HNRNPA1"
"ENSP00000467466.3"	0.0296800276086572	0.0093644877868866	0.748598416766375	0.458720965498406	0.828721329554091	-5.75048819275791	"ENSP00000467466.3"	12	0.790404639005255	0.434171160648507	0.805773795639647	"RPS15"
"ENSP00000324173.6"	-0.0315319802697844	0.0170839393067537	-0.752647482705619	0.456312296198935	0.827390838483473	-5.74759494794001	"ENSP00000324173.6"	37	-0.788082866588471	0.435511559803391	0.807568816040008	"HSPA5"
"ENSP00000360473.2"	-0.0525087286277045	0.0202591863438983	-0.792869492774074	0.432790356636269	0.807257579569665	-5.71803468147117	"ENSP00000360473.2"	2	-0.787044156663126	0.436112027609189	0.807568816040008	"PFDN4"
"ENSP00000305193.3"	0.0672778365264877	0.0252248710468353	0.800343474521401	0.428501279997547	0.802942167448521	-5.71237809653123	"ENSP00000305193.3"	1	0.786972924210291	0.436153224549542	0.807568816040008	"HS1BP3"
"ENSP00000251654.4"	0.0759896416648868	-0.0113769475551915	0.776959277691803	0.442006324443797	0.816732834062712	-5.72990539880558	"ENSP00000251654.4"	12	0.786311223242761	0.436536027508404	0.807568816040008	"PCCB"
"ENSP00000295079.2"	-0.0581348787235075	-0.00726774441301303	-0.789918538097183	0.434490906028494	0.808647477740952	-5.72025396448413	"ENSP00000295079.2"	2	-0.785803492062701	0.436829893277318	0.807568816040008	"MAIP1"
"ENSP00000352964.2"	-0.141920908417541	0.188960115421243	-0.783687932544534	0.438094579705783	0.813564981246727	-5.72491347392989	"ENSP00000352964.2"	2	-0.785646856769596	0.436920574900394	0.807568816040008	"PDLIM7"
"ENSP00000324100.4"	-0.0784421859509672	-0.0903673248760063	-0.782585695317068	0.438733950627518	0.814241830675883	-5.72573406230531	"ENSP00000324100.4"	3	-0.785428748193949	0.437046864318748	0.807568816040008	"MRPL10"
"ENSP00000382021.3"	-0.0278849262095392	0.0138823245672455	-0.757838478934228	0.45323517055098	0.824620746420149	-5.74386362619599	"ENSP00000382021.3"	5	-0.78376813458008	0.438009110596505	0.808842260340927	"LCMT1"
"ENSP00000348064.4"	-0.083795534238264	0.0211559760018758	-0.773984559539704	0.44374230238569	0.818408903901877	-5.73209904816438	"ENSP00000348064.4"	8	-0.781320236427572	0.439429858378061	0.810268169993702	"ART3"
"ENSP00000320821.5"	0.0382687253202842	0.0464864355262562	0.778991818485447	0.440822507812989	0.815053850275951	-5.72840186192655	"ENSP00000320821.5"	3	0.780806344911605	0.439728467435063	0.810268169993702	"KIF1C"
"ENSP00000354415.5"	0.0868086984045699	0.0740495567361406	0.780695010854663	0.439831971121071	0.814289694423621	-5.72713903094536	"ENSP00000354415.5"	2	0.780663634813429	0.439811414055157	0.810268169993702	"MICU1"
"ENSP00000245206.5"	-0.0742388242565418	-0.0278116093054991	-0.774127233555693	0.443658948715338	0.818408903901877	-5.73199402169739	"ENSP00000245206.5"	120	-0.78055339353037	0.439875495391584	0.810268169993702	"GOT2"
"ENSP00000354720.5"	-0.0493719599390561	-0.000724904196100814	-0.768550390114162	0.446923995626532	0.820656565665952	-5.73608535873676	"ENSP00000354720.5"	5	-0.779041846408574	0.440754693022406	0.810543791130826	"SMC3"
"ENSP00000343458.6"	-0.0703899377330451	-0.126558879883037	-0.780647835518918	0.439859389290275	0.814289694423621	-5.72717404496526	"ENSP00000343458.6"	2	-0.778970703813225	0.440796099197046	0.810543791130826	"BCAP31"
"ENSP00000461324.1"	-0.0678651621297636	0.0222366760727331	-0.772927335570128	0.444360248411217	0.819038615926587	-5.73287671793864	"ENSP00000461324.1"	4	-0.77837725345731	0.441141587489222	0.810543791130826	"AC139530.2"
"ENSP00000281182.5"	-0.0544631071908045	-0.024295626097552	-0.763287844978079	0.450018030591808	0.822303150285587	-5.73991986916642	"ENSP00000281182.5"	13	-0.778159968320624	0.441268124450852	0.810543791130826	"ACAD8"
"ENSP00000054950.4"	-0.0693339402093448	-0.0248520712018705	-0.771071494898446	0.445446219169189	0.819510373403191	-5.73423934553538	"ENSP00000054950.4"	5	-0.777944952855005	0.441393360936537	0.810543791130826	"RCN1"
