	source	target	category	correlation	pvalue	padj
4665381	ENSG00000170144	ENSP00000281031.4	115	-0.5034531360112756	0.0004947314703571	0.0069178934862937
4665385	ENSG00000170144	ENSP00000423673.1	115	-0.5698379140239606	5.402527931236655e-05	0.0013108437971346
4665407	ENSG00000170144	ENSP00000492163.1	115	-0.5544749823819591	9.406086711214784e-05	0.0019902567352949
4665442	ENSG00000170144	ENSP00000238688.5	115	-0.5619450317124736	7.207769098073318e-05	0.0016290766858031
4665444	ENSG00000170144	ENSP00000253452.2	115	-0.5640591966173362	6.676914555111737e-05	0.0015377834553886
4665464	ENSG00000170144	ENSP00000358737.3	115	-0.5526427061310782	0.0001003106475845	0.0020889546779219
4665473	ENSG00000170144	ENSP00000256441.4	115	-0.5377026074700493	0.0001671850929098	0.0030689591526531
4665485	ENSG00000170144	ENSP00000301729.4	115	-0.6504580690627203	1.758347409132538e-06	9.81906834382317e-05
4665488	ENSG00000170144	ENSP00000356972.3	115	-0.5568710359408033	8.642263836059761e-05	0.0018674500246923
4665492	ENSG00000170144	ENSP00000260665.7	115	-0.5603946441155743	7.621191889697031e-05	0.0016989242195541
4665517	ENSG00000170144	ENSP00000381785.3	115	-0.5740662438336857	4.6152671710220535e-05	0.0011638180684739
4665526	ENSG00000170144	ENSP00000355518.4	115	-0.5848686197523407	3.809021817293495e-05	0.0010067920098572
4665541	ENSG00000170144	ENSP00000155674.5	115	-0.586892177589852	2.8238579233807657e-05	0.0008029714905548
4665552	ENSG00000170144	ENSP00000377446.2	115	-0.5811134601832276	3.5324927932448256e-05	0.0009508804658416
4665557	ENSG00000170144	ENSP00000216254.4	115	-0.5618040873854827	7.244490586013727e-05	0.0016353233032561
4665946	ENSG00000170144	ENSG00000064607	115	0.790415785764623	1.7566667249197427e-10	8.484747222660475e-08
4666200	ENSG00000170144	ENSG00000090863	115	0.6868217054263566	2.633366217468257e-07	2.3264644236428926e-05
4666264	ENSG00000170144	ENSG00000100227	115	0.6902043692741368	2.1766483874605053e-07	2.0139022770783843e-05
4666277	ENSG00000170144	ENSG00000100485	115	0.6937279774489077	1.7800474622101153e-07	1.728408503728857e-05
4666479	ENSG00000170144	ENSG00000107758	115	0.7157152924594785	4.7446669835378063e-08	6.3109138611044885e-06
4666718	ENSG00000170144	ENSG00000115307	115	0.7075405214940099	7.866580009050462e-08	9.27964483203264e-06
4666978	ENSG00000170144	ENSG00000124222	115	0.8250880902043692	5.6608407183683456e-12	5.689229124079682e-09
4667156	ENSG00000170144	ENSG00000132155	115	0.6465116279069767	2.1284162665667287e-06	0.0001135531849434
4667167	ENSG00000170144	ENSG00000132429	115	0.7744890768146583	6.908941783099779e-10	2.458970594197379e-07
4667483	ENSG00000170144	ENSG00000140391	115	0.7151515151515151	4.915771470501842e-08	6.4848938420942255e-06
4667560	ENSG00000170144	ENSG00000143420	115	0.7753347427766032	6.442456637263906e-10	2.3296237792349838e-07
4667668	ENSG00000170144	ENSG00000147224	115	0.743199436222692	7.564025278143996e-09	1.5514591761012967e-06
4667675	ENSG00000170144	ENSG00000147454	115	0.7486962649753348	5.095300977530486e-09	1.1463756634141797e-06
4667773	ENSG00000170144	ENSG00000152795	115	0.7202255109231853	3.5627635115106145e-08	5.070544604868076e-06
4668031	ENSG00000170144	ENSG00000163938	115	0.7933756166314306	1.3443876608473039e-10	6.879333309853096e-08
4668181	ENSG00000170144	ENSG00000167721	115	0.7258632840028189	2.4708803173275412e-08	3.83743559340106e-06
4894473	ENSG00000172465	ENSP00000377770.1	115	-0.6159267089499647	8.567098126917891e-06	0.0003260458470543
4894477	ENSG00000172465	ENSP00000418842.3	115	-0.5871740662438337	2.792877785109889e-05	0.0007962949982655
4894480	ENSG00000172465	ENSP00000496880.1	115	-0.648907681465821	1.895985096791504e-06	0.0001039824157044
4894487	ENSG00000172465	ENSP00000266544.5	115	-0.6235377026074701	6.142611785898352e-06	0.0002533992841333
4894496	ENSG00000172465	ENSP00000268668.6	115	-0.5908386187455954	2.4174716782149e-05	0.0007140531900132
4894504	ENSG00000172465	ENSP00000359346.1	115	-0.5974630021141649	1.853866196420457e-05	0.0005841829949932
4894509	ENSG00000172465	ENSP00000297564.2	115	-0.6004228329809724	1.6433768871022354e-05	0.0005333704732559
4894512	ENSG00000172465	ENSP00000292907.3	115	-0.5878787878787879	2.716783899370858e-05	0.0007798485134597
4894513	ENSG00000172465	ENSP00000330737.2	115	-0.5812544045102185	3.513431936838791e-05	0.0009470019277996
4894517	ENSG00000172465	ENSP00000296684.5	115	-0.602677942212826	1.4979829558250048e-05	0.0004973319560569
4894521	ENSG00000172465	ENSP00000419656.1	115	-0.5744890768146582	4.542605129477906e-05	0.0011499590476573
4894524	ENSG00000172465	ENSP00000263774.4	115	-0.5795630725863284	3.748494250794496e-05	0.0009945874801019
4894527	ENSG00000172465	ENSP00000419578.1	115	-0.6008456659619451	1.6151663528300065e-05	0.000526458075636
4894534	ENSG00000172465	ENSP00000397760.1	115	-0.5914023960535588	2.364007565336506e-05	0.0007021171509587
4894535	ENSG00000172465	ENSP00000252711.2	115	-0.6036645525017619	1.4381680522980453e-05	0.0004822507667303
4894539	ENSG00000172465	ENSP00000281031.4	115	-0.5609584214235377	7.46842155902025e-05	0.0016732555251559
4894543	ENSG00000172465	ENSP00000423673.1	115	-0.6307258632840028	4.449775810469826e-06	0.0001985403326846
4894569	ENSG00000172465	ENSP00000492163.1	115	-0.5736434108527132	4.688989152399676e-05	0.0011778080803307
4894608	ENSG00000172465	ENSP00000238688.5	115	-0.6558139534883721	1.3508228061401054e-06	8.038514976427211e-05
4894612	ENSG00000172465	ENSP00000253452.2	115	-0.6004228329809724	1.6433768871022354e-05	0.0005333704732559
4894634	ENSG00000172465	ENSP00000358737.3	115	-0.5822410147991544	3.3826174070663846e-05	0.000920237973273
4894643	ENSG00000172465	ENSP00000256441.4	115	-0.5939393939393939	2.136565776822207e-05	0.0006504330458045
4894654	ENSG00000172465	ENSP00000301729.4	115	-0.6446793516560958	2.323637192496626e-06	0.0001213725865345
4894659	ENSG00000172465	ENSP00000356972.3	115	-0.5494009866102889	0.0001122997818098	0.0022749046637383
4894663	ENSG00000172465	ENSP00000260665.7	115	-0.6730091613812543	5.587195825873462e-07	4.1112434758354326e-05
4894689	ENSG00000172465	ENSP00000381785.3	115	-0.6269203664552502	5.283268154218326e-06	0.0002261130366054
4894700	ENSG00000172465	ENSP00000355518.4	115	-0.6149199637571731	1.1472459551541624e-05	0.0004068903018768
4894714	ENSG00000172465	ENSP00000155674.5	115	-0.6124031007751938	9.964359459959e-06	0.0003654519954886
4894725	ENSG00000172465	ENSP00000377446.2	115	-0.6352360817477097	3.61959859179167e-06	0.0001697998876293
4894730	ENSG00000172465	ENSP00000216254.4	115	-0.608738548273432	1.163738097451427e-05	0.0004109625439256
4895187	ENSG00000172465	ENSG00000064607	115	0.743199436222692	7.564025278143996e-09	1.5514591761012967e-06
4895403	ENSG00000172465	ENSG00000090863	115	0.7276955602536999	2.189567079529192e-08	3.498078375403593e-06
4895456	ENSG00000172465	ENSG00000100227	115	0.6427061310782242	2.5522950816091437e-06	0.0001303215869138
4895469	ENSG00000172465	ENSG00000100485	115	0.7788583509513742	4.798787572556056e-10	1.8547320708851292e-07
4895668	ENSG00000172465	ENSG00000107758	115	0.6813248766737139	3.56956976889616e-07	2.929075190317461e-05
4895881	ENSG00000172465	ENSG00000115307	115	0.7477096546863988	5.473787735429017e-09	1.21080457545071e-06
4896119	ENSG00000172465	ENSG00000124222	115	0.7651867512332629	1.462187638824172e-09	4.390128834299693e-07
4896287	ENSG00000172465	ENSG00000132155	115	0.6952783650458069	1.6278113703983154e-07	1.614844909446043e-05
4896295	ENSG00000172465	ENSG00000132429	115	0.8057787174066244	4.173674811324256e-11	2.7537295232870743e-08
4896574	ENSG00000172465	ENSG00000140391	115	0.7558844256518675	2.992737114518397e-09	7.613295463622527e-07
4896652	ENSG00000172465	ENSG00000143420	115	0.7828047921071177	3.4282652565602084e-10	1.428692751000099e-07
4896747	ENSG00000172465	ENSG00000147224	115	0.6920366455250176	1.9611716335250122e-07	1.8609023014200454e-05
4896755	ENSG00000172465	ENSG00000147454	115	0.6107117688513037	1.0706921123025716e-05	0.0003858114293046
4896841	ENSG00000172465	ENSG00000152795	115	0.8121212121212122	2.22082409777275e-11	1.6763777191595576e-08
4897074	ENSG00000172465	ENSG00000163938	115	0.7689922480620155	1.0805066342289951e-09	3.475905938207554e-07
4897215	ENSG00000172465	ENSG00000167721	115	0.6821705426356589	3.407814917007967e-07	2.828165682141904e-05
